dset,model,sparsity,seed,val_acc
birds,AC/DC,0.9,seed_21,0.5873
birds,AC/DC,0.9,seed_51,0.5868
birds,AC/DC,0.9,seed_81,0.5866
birds,AC/DC,0.9,seed_111,0.586
birds,AC/DC,0.9,seed_141,0.5866
birds,AC/DC,0.95,seed_21,0.5762
birds,AC/DC,0.95,seed_51,0.5769
birds,AC/DC,0.95,seed_81,0.5768
birds,AC/DC,0.95,seed_111,0.5764
birds,AC/DC,0.95,seed_141,0.5762
birds,RigL ERK 1x,0.9,seed_21,0.5326
birds,RigL ERK 1x,0.9,seed_51,0.5338
birds,RigL ERK 1x,0.9,seed_81,0.533
birds,RigL ERK 1x,0.9,seed_111,0.5331
birds,RigL ERK 1x,0.9,seed_141,0.5329
birds,RigL ERK 5x,0.9,seed_21,0.5715
birds,RigL ERK 5x,0.9,seed_51,0.5717
birds,RigL ERK 5x,0.9,seed_81,0.573
birds,RigL ERK 5x,0.9,seed_111,0.5709
birds,RigL ERK 5x,0.9,seed_141,0.5715
birds,RigL ERK 1x,0.8,seed_21,0.5522
birds,RigL ERK 1x,0.8,seed_51,0.5522
birds,RigL ERK 1x,0.8,seed_81,0.5521
birds,RigL ERK 1x,0.8,seed_111,0.552
birds,RigL ERK 1x,0.8,seed_141,0.5522
birds,RigL ERK 5x,0.8,seed_21,0.5665
birds,RigL ERK 5x,0.8,seed_51,0.5658
birds,RigL ERK 5x,0.8,seed_81,0.5668
birds,RigL ERK 5x,0.8,seed_111,0.5669
birds,RigL ERK 5x,0.8,seed_141,0.5675
birds,RigL ERK 1x,0.95,seed_21,0.5189
birds,RigL ERK 1x,0.95,seed_51,0.5187
birds,RigL ERK 1x,0.95,seed_81,0.5204
birds,RigL ERK 1x,0.95,seed_111,0.5167
birds,RigL ERK 1x,0.95,seed_141,0.5183
birds,RigL ERK 5x,0.95,seed_21,0.5591
birds,RigL ERK 5x,0.95,seed_51,0.5598
birds,RigL ERK 5x,0.95,seed_81,0.5591
birds,RigL ERK 5x,0.95,seed_111,0.5597
birds,RigL ERK 5x,0.95,seed_141,0.5598
birds,LTH-T,0.8,seed_21,0.2956
birds,LTH-T,0.8,seed_51,0.2969
birds,LTH-T,0.8,seed_81,0.2964
birds,LTH-T,0.8,seed_111,0.2968
birds,LTH-T,0.8,seed_141,0.2965
birds,LTH-T,0.9,seed_21,0.1143
birds,LTH-T,0.9,seed_51,0.1146
birds,LTH-T,0.9,seed_81,0.1142
birds,LTH-T,0.9,seed_111,0.1132
birds,LTH-T,0.9,seed_141,0.1155
birds,LTH-T,0.95,seed_21,0.0225
birds,LTH-T,0.95,seed_51,0.024
birds,LTH-T,0.95,seed_81,0.0225
birds,LTH-T,0.95,seed_111,0.0228
birds,LTH-T,0.95,seed_141,0.0222
birds,STR,0.8,seed_21,0.5621
birds,STR,0.8,seed_51,0.5627
birds,STR,0.8,seed_81,0.562
birds,STR,0.8,seed_141,0.5613
birds,STR,0.8,seed_111,0.5615
birds,STR,0.9,seed_21,0.5526
birds,STR,0.9,seed_51,0.5513
birds,STR,0.9,seed_81,0.5528
birds,STR,0.9,seed_141,0.5526
birds,STR,0.9,seed_111,0.5526
birds,STR,0.95,seed_21,0.5217
birds,STR,0.95,seed_51,0.5204
birds,STR,0.95,seed_81,0.5201
birds,STR,0.95,seed_141,0.5221
birds,STR,0.95,seed_111,0.5223
birds,STR,0.98,seed_21,0.4372
birds,STR,0.98,seed_51,0.437
birds,STR,0.98,seed_81,0.4365
birds,STR,0.98,seed_141,0.4374
birds,STR,0.98,seed_111,0.4375
birds,WoodFisher,0.8,seed_21,0.5192
birds,WoodFisher,0.8,seed_51,0.5195
birds,WoodFisher,0.8,seed_81,0.5176
birds,WoodFisher,0.8,seed_141,0.5199
birds,WoodFisher,0.8,seed_111,0.5187
birds,WoodFisher,0.9,seed_21,0.5263
birds,WoodFisher,0.9,seed_51,0.528
birds,WoodFisher,0.9,seed_81,0.5266
birds,WoodFisher,0.9,seed_141,0.5266
birds,WoodFisher,0.9,seed_111,0.5271
birds,WoodFisher,0.95,seed_21,0.519
birds,WoodFisher,0.95,seed_51,0.5173
birds,WoodFisher,0.95,seed_81,0.5177
birds,WoodFisher,0.95,seed_141,0.5163
birds,WoodFisher,0.95,seed_111,0.5193
caltech101,Dense,0.0,seed_21,0.9189
caltech101,Dense,0.0,seed_51,0.919
caltech101,Dense,0.0,seed_81,0.9173
caltech101,Dense,0.0,seed_111,0.9203
caltech101,Dense,0.0,seed_141,0.9175
caltech101,AC/DC,0.8,seed_21,0.924
caltech101,AC/DC,0.8,seed_51,0.9237
caltech101,AC/DC,0.8,seed_81,0.9221
caltech101,AC/DC,0.8,seed_111,0.9263
caltech101,AC/DC,0.8,seed_141,0.9228
caltech101,AC/DC,0.9,seed_21,0.9249
caltech101,AC/DC,0.9,seed_51,0.9248
caltech101,AC/DC,0.9,seed_81,0.9253
caltech101,AC/DC,0.9,seed_111,0.9231
caltech101,AC/DC,0.9,seed_141,0.9256
caltech101,AC/DC,0.95,seed_21,0.9159
caltech101,AC/DC,0.95,seed_51,0.9179
caltech101,AC/DC,0.95,seed_81,0.9158
caltech101,AC/DC,0.95,seed_111,0.9145
caltech101,AC/DC,0.95,seed_141,0.9167
caltech101,RigL ERK 1x,0.9,seed_21,0.9087
caltech101,RigL ERK 1x,0.9,seed_51,0.9056
caltech101,RigL ERK 1x,0.9,seed_81,0.9007
caltech101,RigL ERK 1x,0.9,seed_111,0.9088
caltech101,RigL ERK 1x,0.9,seed_141,0.9083
caltech101,RigL ERK 5x,0.9,seed_21,0.9117
caltech101,RigL ERK 5x,0.9,seed_51,0.9123
caltech101,RigL ERK 5x,0.9,seed_81,0.9202
caltech101,RigL ERK 5x,0.9,seed_111,0.9124
caltech101,RigL ERK 5x,0.9,seed_141,0.9131
caltech101,RigL ERK 1x,0.8,seed_21,0.9095
caltech101,RigL ERK 1x,0.8,seed_51,0.9117
caltech101,RigL ERK 1x,0.8,seed_81,0.9104
caltech101,RigL ERK 1x,0.8,seed_111,0.9106
caltech101,RigL ERK 1x,0.8,seed_141,0.9112
caltech101,RigL ERK 5x,0.8,seed_21,0.9067
caltech101,RigL ERK 5x,0.8,seed_51,0.9101
caltech101,RigL ERK 5x,0.8,seed_81,0.9055
caltech101,RigL ERK 5x,0.8,seed_111,0.9049
caltech101,RigL ERK 5x,0.8,seed_141,0.9105
caltech101,RigL ERK 1x,0.95,seed_21,0.8903
caltech101,RigL ERK 1x,0.95,seed_51,0.8897
caltech101,RigL ERK 1x,0.95,seed_81,0.8876
caltech101,RigL ERK 1x,0.95,seed_111,0.8907
caltech101,RigL ERK 1x,0.95,seed_141,0.8913
caltech101,RigL ERK 5x,0.95,seed_21,0.9113
caltech101,RigL ERK 5x,0.95,seed_51,0.9143
caltech101,RigL ERK 5x,0.95,seed_81,0.9133
caltech101,RigL ERK 5x,0.95,seed_111,0.9147
caltech101,RigL ERK 5x,0.95,seed_141,0.9142
caltech101,LTH-T,0.8,seed_21,0.7534
caltech101,LTH-T,0.8,seed_51,0.7543
caltech101,LTH-T,0.8,seed_81,0.7546
caltech101,LTH-T,0.8,seed_111,0.7556
caltech101,LTH-T,0.8,seed_141,0.7522
caltech101,LTH-T,0.9,seed_21,0.4973
caltech101,LTH-T,0.9,seed_51,0.4912
caltech101,LTH-T,0.9,seed_81,0.4804
caltech101,LTH-T,0.9,seed_111,0.4913
caltech101,LTH-T,0.9,seed_141,0.4899
caltech101,LTH-T,0.95,seed_21,0.1995
caltech101,LTH-T,0.95,seed_51,0.2063
caltech101,LTH-T,0.95,seed_81,0.1961
caltech101,LTH-T,0.95,seed_111,0.1977
caltech101,LTH-T,0.95,seed_141,0.2068
caltech101,STR,0.8,seed_21,0.9127
caltech101,STR,0.8,seed_51,0.9134
caltech101,STR,0.8,seed_81,0.9125
caltech101,STR,0.8,seed_141,0.9102
caltech101,STR,0.8,seed_111,0.9135
caltech101,STR,0.9,seed_21,0.9082
caltech101,STR,0.9,seed_51,0.9106
caltech101,STR,0.9,seed_81,0.9074
caltech101,STR,0.9,seed_141,0.9088
caltech101,STR,0.9,seed_111,0.9091
caltech101,STR,0.95,seed_21,0.9002
caltech101,STR,0.95,seed_51,0.898
caltech101,STR,0.95,seed_81,0.902
caltech101,STR,0.95,seed_141,0.9009
caltech101,STR,0.95,seed_111,0.8996
caltech101,STR,0.98,seed_21,0.8655
caltech101,STR,0.98,seed_51,0.8624
caltech101,STR,0.98,seed_81,0.8617
caltech101,STR,0.98,seed_141,0.8626
caltech101,STR,0.98,seed_111,0.8633
caltech101,WoodFisher,0.8,seed_21,0.9112
caltech101,WoodFisher,0.8,seed_51,0.9133
caltech101,WoodFisher,0.8,seed_81,0.9105
caltech101,WoodFisher,0.8,seed_141,0.9117
caltech101,WoodFisher,0.8,seed_111,0.9112
caltech101,WoodFisher,0.9,seed_21,0.9139
caltech101,WoodFisher,0.9,seed_51,0.9148
caltech101,WoodFisher,0.9,seed_81,0.9132
caltech101,WoodFisher,0.9,seed_141,0.9145
caltech101,WoodFisher,0.9,seed_111,0.9111
caltech101,WoodFisher,0.95,seed_21,0.9107
caltech101,WoodFisher,0.95,seed_51,0.9137
caltech101,WoodFisher,0.95,seed_81,0.9082
caltech101,WoodFisher,0.95,seed_141,0.908
caltech101,WoodFisher,0.95,seed_111,0.9086
caltech256,Dense,0.0,seed_21,0.8472
caltech256,Dense,0.0,seed_51,0.8476
caltech256,Dense,0.0,seed_81,0.8486
caltech256,Dense,0.0,seed_111,0.8478
caltech256,Dense,0.0,seed_141,0.8471
caltech256,AC/DC,0.8,seed_21,0.8457
caltech256,AC/DC,0.8,seed_51,0.8461
caltech256,AC/DC,0.8,seed_81,0.8466
caltech256,AC/DC,0.8,seed_111,0.8466
caltech256,AC/DC,0.8,seed_141,0.8471
caltech256,AC/DC,0.9,seed_21,0.8444
caltech256,AC/DC,0.9,seed_51,0.8445
caltech256,AC/DC,0.9,seed_81,0.8451
caltech256,AC/DC,0.9,seed_111,0.8443
caltech256,AC/DC,0.9,seed_141,0.8446
caltech256,AC/DC,0.95,seed_21,0.8264
caltech256,AC/DC,0.95,seed_51,0.8283
caltech256,AC/DC,0.95,seed_81,0.8269
caltech256,AC/DC,0.95,seed_111,0.8283
caltech256,AC/DC,0.95,seed_141,0.8283
caltech256,RigL ERK 1x,0.9,seed_21,0.8197
caltech256,RigL ERK 1x,0.9,seed_51,0.8191
caltech256,RigL ERK 1x,0.9,seed_81,0.8199
caltech256,RigL ERK 1x,0.9,seed_111,0.8192
caltech256,RigL ERK 1x,0.9,seed_141,0.819
caltech256,RigL ERK 5x,0.9,seed_21,0.8451
caltech256,RigL ERK 5x,0.9,seed_51,0.846
caltech256,RigL ERK 5x,0.9,seed_81,0.8441
caltech256,RigL ERK 5x,0.9,seed_111,0.8455
caltech256,RigL ERK 5x,0.9,seed_141,0.8454
caltech256,RigL ERK 1x,0.8,seed_21,0.8322
caltech256,RigL ERK 1x,0.8,seed_51,0.8339
caltech256,RigL ERK 1x,0.8,seed_81,0.8323
caltech256,RigL ERK 1x,0.8,seed_111,0.8323
caltech256,RigL ERK 1x,0.8,seed_141,0.8322
caltech256,RigL ERK 5x,0.8,seed_21,0.8455
caltech256,RigL ERK 5x,0.8,seed_51,0.8453
caltech256,RigL ERK 5x,0.8,seed_81,0.8468
caltech256,RigL ERK 5x,0.8,seed_111,0.8456
caltech256,RigL ERK 5x,0.8,seed_141,0.846
caltech256,RigL ERK 1x,0.95,seed_21,0.801
caltech256,RigL ERK 1x,0.95,seed_51,0.8007
caltech256,RigL ERK 1x,0.95,seed_81,0.803
caltech256,RigL ERK 1x,0.95,seed_111,0.8007
caltech256,RigL ERK 1x,0.95,seed_141,0.8013
caltech256,RigL ERK 5x,0.95,seed_21,0.8338
caltech256,RigL ERK 5x,0.95,seed_51,0.8349
caltech256,RigL ERK 5x,0.95,seed_81,0.8355
caltech256,RigL ERK 5x,0.95,seed_111,0.8352
caltech256,RigL ERK 5x,0.95,seed_141,0.8336
caltech256,LTH-T,0.8,seed_21,0.6623
caltech256,LTH-T,0.8,seed_51,0.6609
caltech256,LTH-T,0.8,seed_81,0.6608
caltech256,LTH-T,0.8,seed_111,0.6614
caltech256,LTH-T,0.8,seed_141,0.6613
caltech256,LTH-T,0.9,seed_21,0.4205
caltech256,LTH-T,0.9,seed_51,0.4194
caltech256,LTH-T,0.9,seed_81,0.4202
caltech256,LTH-T,0.9,seed_111,0.4192
caltech256,LTH-T,0.9,seed_141,0.4196
caltech256,LTH-T,0.95,seed_21,0.1205
caltech256,LTH-T,0.95,seed_51,0.1242
caltech256,LTH-T,0.95,seed_81,0.1216
caltech256,LTH-T,0.95,seed_111,0.1224
caltech256,LTH-T,0.95,seed_141,0.1288
caltech256,STR,0.8,seed_21,0.8354
caltech256,STR,0.8,seed_51,0.836
caltech256,STR,0.8,seed_81,0.8351
caltech256,STR,0.8,seed_141,0.836
caltech256,STR,0.8,seed_111,0.8355
caltech256,STR,0.9,seed_21,0.826
caltech256,STR,0.9,seed_51,0.8257
caltech256,STR,0.9,seed_81,0.8255
caltech256,STR,0.9,seed_141,0.8258
caltech256,STR,0.9,seed_111,0.8261
caltech256,STR,0.95,seed_21,0.8014
caltech256,STR,0.95,seed_51,0.8011
caltech256,STR,0.95,seed_81,0.8017
caltech256,STR,0.95,seed_141,0.8029
caltech256,STR,0.95,seed_111,0.8013
caltech256,STR,0.98,seed_21,0.7331
caltech256,STR,0.98,seed_51,0.7344
caltech256,STR,0.98,seed_81,0.7347
caltech256,STR,0.98,seed_141,0.7351
caltech256,STR,0.98,seed_111,0.7351
caltech256,WoodFisher,0.8,seed_21,0.8373
caltech256,WoodFisher,0.8,seed_51,0.8373
caltech256,WoodFisher,0.8,seed_81,0.8365
caltech256,WoodFisher,0.8,seed_141,0.8384
caltech256,WoodFisher,0.8,seed_111,0.8379
caltech256,WoodFisher,0.9,seed_21,0.8305
caltech256,WoodFisher,0.9,seed_51,0.8291
caltech256,WoodFisher,0.9,seed_81,0.829
caltech256,WoodFisher,0.9,seed_141,0.8304
caltech256,WoodFisher,0.9,seed_111,0.8303
caltech256,WoodFisher,0.95,seed_21,0.8117
caltech256,WoodFisher,0.95,seed_51,0.8127
caltech256,WoodFisher,0.95,seed_81,0.8117
caltech256,WoodFisher,0.95,seed_141,0.8126
caltech256,WoodFisher,0.95,seed_111,0.8128
cars,Dense,0.0,seed_21,0.5341
cars,Dense,0.0,seed_51,0.5333
cars,Dense,0.0,seed_81,0.5344
cars,Dense,0.0,seed_111,0.5354
cars,Dense,0.0,seed_141,0.5346
cars,AC/DC,0.8,seed_21,0.566
cars,AC/DC,0.8,seed_51,0.5665
cars,AC/DC,0.8,seed_81,0.5657
cars,AC/DC,0.8,seed_111,0.566
cars,AC/DC,0.8,seed_141,0.5659
cars,AC/DC,0.9,seed_21,0.5601
cars,AC/DC,0.9,seed_51,0.5616
cars,AC/DC,0.9,seed_81,0.5584
cars,AC/DC,0.9,seed_111,0.5603
cars,AC/DC,0.9,seed_141,0.5599
cars,AC/DC,0.95,seed_21,0.5686
cars,AC/DC,0.95,seed_51,0.5687
cars,AC/DC,0.95,seed_81,0.5697
cars,AC/DC,0.95,seed_111,0.5702
cars,AC/DC,0.95,seed_141,0.5687
cars,RigL ERK 1x,0.9,seed_21,0.5564
cars,RigL ERK 1x,0.9,seed_51,0.5554
cars,RigL ERK 1x,0.9,seed_81,0.5563
cars,RigL ERK 1x,0.9,seed_111,0.5529
cars,RigL ERK 1x,0.9,seed_141,0.5559
cars,RigL ERK 5x,0.9,seed_21,0.6045
cars,RigL ERK 5x,0.9,seed_51,0.6049
cars,RigL ERK 5x,0.9,seed_81,0.606
cars,RigL ERK 5x,0.9,seed_111,0.6055
cars,RigL ERK 5x,0.9,seed_141,0.6051
cars,RigL ERK 1x,0.8,seed_21,0.5748
cars,RigL ERK 1x,0.8,seed_51,0.5753
cars,RigL ERK 1x,0.8,seed_81,0.5726
cars,RigL ERK 1x,0.8,seed_111,0.5742
cars,RigL ERK 1x,0.8,seed_141,0.5724
cars,RigL ERK 5x,0.8,seed_21,0.587
cars,RigL ERK 5x,0.8,seed_51,0.5862
cars,RigL ERK 5x,0.8,seed_81,0.5849
cars,RigL ERK 5x,0.8,seed_111,0.5854
cars,RigL ERK 5x,0.8,seed_141,0.5841
cars,RigL ERK 1x,0.95,seed_21,0.5294
cars,RigL ERK 1x,0.95,seed_51,0.5288
cars,RigL ERK 1x,0.95,seed_81,0.5288
cars,RigL ERK 1x,0.95,seed_111,0.5295
cars,RigL ERK 1x,0.95,seed_141,0.5294
cars,RigL ERK 5x,0.95,seed_21,0.5717
