dset,model,sparsity,seed,val_acc
caltech101,AC/DC,0.75,seed_111,0.8955
caltech101,AC/DC,0.75,seed_141,0.8953
caltech101,AC/DC,0.5,seed_21,0.8998
caltech101,AC/DC,0.5,seed_51,0.8938
caltech101,AC/DC,0.5,seed_81,0.8979
caltech101,AC/DC,0.5,seed_111,0.8961
caltech101,AC/DC,0.5,seed_141,0.8985
caltech101,M-FAC,0.75,seed_21,0.892
caltech101,M-FAC,0.75,seed_51,0.8935
caltech101,M-FAC,0.75,seed_81,0.8917
caltech101,M-FAC,0.75,seed_111,0.8919
caltech101,M-FAC,0.75,seed_141,0.8916
caltech101,M-FAC,0.89,seed_51,0.8715
caltech101,M-FAC,0.89,seed_81,0.8718
caltech101,M-FAC,0.89,seed_21,0.871
caltech101,M-FAC,0.89,seed_111,0.874
caltech101,M-FAC,0.89,seed_141,0.8727
caltech101,STR,0.75,seed_21,0.8826
caltech101,STR,0.75,seed_51,0.8806
caltech101,STR,0.75,seed_81,0.8794
caltech101,STR,0.75,seed_111,0.8808
caltech101,STR,0.75,seed_141,0.8777
caltech101,STR,0.9,seed_21,0.8493
caltech101,STR,0.9,seed_51,0.8527
caltech101,STR,0.9,seed_81,0.8509
caltech101,STR,0.9,seed_111,0.8542
caltech101,STR,0.9,seed_141,0.8518
caltech101,Dense,0.0,seed_21,0.9021
caltech101,Dense,0.0,seed_51,0.9035
caltech101,Dense,0.0,seed_81,0.9043
caltech101,Dense,0.0,seed_111,0.9021
caltech101,Dense,0.0,seed_141,0.9051
caltech256,AC/DC,0.3,seed_21,0.804
caltech256,AC/DC,0.3,seed_51,0.8035
caltech256,AC/DC,0.3,seed_81,0.8037
caltech256,AC/DC,0.3,seed_111,0.8036
caltech256,AC/DC,0.3,seed_141,0.804
caltech256,AC/DC,0.4,seed_21,0.8031
caltech256,AC/DC,0.4,seed_51,0.8016
caltech256,AC/DC,0.4,seed_81,0.8027
caltech256,AC/DC,0.4,seed_111,0.8019
caltech256,AC/DC,0.4,seed_141,0.8033
caltech256,AC/DC,0.9,seed_21,0.773
caltech256,AC/DC,0.9,seed_51,0.7732
caltech256,AC/DC,0.9,seed_81,0.7743
caltech256,AC/DC,0.9,seed_111,0.773
caltech256,AC/DC,0.9,seed_141,0.7739
caltech256,AC/DC,0.75,seed_21,0.7925
caltech256,AC/DC,0.75,seed_51,0.7924
caltech256,AC/DC,0.75,seed_81,0.7924
caltech256,AC/DC,0.75,seed_111,0.7916
caltech256,AC/DC,0.75,seed_141,0.7927
caltech256,AC/DC,0.5,seed_21,0.805
caltech256,AC/DC,0.5,seed_51,0.8047
caltech256,AC/DC,0.5,seed_81,0.8043
caltech256,AC/DC,0.5,seed_111,0.8046
caltech256,AC/DC,0.5,seed_141,0.804
caltech256,M-FAC,0.75,seed_21,0.7906
caltech256,M-FAC,0.75,seed_51,0.7904
caltech256,M-FAC,0.75,seed_81,0.7909
caltech256,M-FAC,0.75,seed_111,0.7903
caltech256,M-FAC,0.75,seed_141,0.7897
caltech256,M-FAC,0.89,seed_51,0.7691
caltech256,M-FAC,0.89,seed_81,0.7689
caltech256,M-FAC,0.89,seed_21,0.7695
caltech256,M-FAC,0.89,seed_111,0.7695
caltech256,M-FAC,0.89,seed_141,0.7694
caltech256,STR,0.75,seed_21,0.7779
caltech256,STR,0.75,seed_51,0.7775
caltech256,STR,0.75,seed_81,0.778
caltech256,STR,0.75,seed_111,0.7765
caltech256,STR,0.75,seed_141,0.7779
caltech256,STR,0.9,seed_21,0.7381
caltech256,STR,0.9,seed_51,0.7373
caltech256,STR,0.9,seed_81,0.7369
caltech256,STR,0.9,seed_111,0.7376
caltech256,STR,0.9,seed_141,0.7391
caltech256,Dense,0.0,seed_21,0.8015
caltech256,Dense,0.0,seed_51,0.8016
caltech256,Dense,0.0,seed_81,0.8029
caltech256,Dense,0.0,seed_111,0.8013
caltech256,Dense,0.0,seed_141,0.8019
cars,AC/DC,0.3,seed_21,0.5608
cars,AC/DC,0.3,seed_51,0.559
cars,AC/DC,0.3,seed_81,0.5598
cars,AC/DC,0.3,seed_111,0.5591
cars,AC/DC,0.3,seed_141,0.5586
cars,AC/DC,0.4,seed_21,0.5518
cars,AC/DC,0.4,seed_51,0.5512
cars,AC/DC,0.4,seed_81,0.5506
cars,AC/DC,0.4,seed_111,0.5518
cars,AC/DC,0.4,seed_141,0.5513
cars,AC/DC,0.9,seed_21,0.5287
cars,AC/DC,0.9,seed_51,0.5288
cars,AC/DC,0.9,seed_81,0.5288
cars,AC/DC,0.9,seed_111,0.5295
cars,AC/DC,0.9,seed_141,0.5284
cars,AC/DC,0.75,seed_21,0.545
cars,AC/DC,0.75,seed_51,0.5441
cars,AC/DC,0.75,seed_81,0.5457
cars,AC/DC,0.75,seed_111,0.5448
cars,AC/DC,0.75,seed_141,0.5437
cars,AC/DC,0.5,seed_21,0.5484
